chr1,x1,x2,chr2,y1,y2,color,o,e_bl,e_donut,e_h,e_v,fdr_bl,fdr_donut,fdr_h,fdr_v,num_collapsed,centroid1,centroid2,radius,x,y,x_hg38,y_hg38
X,115000000,115050000,X,130850000,130900000,"0,255,255",619,59.8216,47.1159,47.1654,0.0,0.0,0.0,0.0,7,115046428,130889285,88352.2634061,,115025000,130875000,115908667,131740972
X,130900000,130950000,X,153750000,153800000,"0,255,255",393,43.3405,40.5877,47.9396,2.7267598968299997e-198,1.3479347070299998e-198,1.3636798560199999e-198,2.7511723754499996e-198,4,130900000,153775000,75000.0,,130925000,153775000,131790972,154546785
X,47050000,47100000,X,56750000,56800000,"0,255,255",197,64.0441,60.3381,59.0784,2.20529855921e-24,7.70658042876e-37,9.323090243519999e-37,1.30265404914e-24,2,47075000,56800000,25000.0,,47075000,56775000,47215601,56748567
X,56800000,56850000,X,75350000,75400000,"0,255,255",194,38.071,31.1849,29.0327,5.83722296763e-63,2.9026311819600003e-63,1.1454362427e-78,8.67297538144e-49,3,56808333,75358333,37267.799625,,56825000,75375000,56798567,76155165
X,130900000,130950000,X,137800000,137850000,"0,255,255",170,68.6131,74.5768,72.5818,7.107339095719999e-15,7.465916897339999e-15,2.99322720186e-15,1.25467551631e-07,3,130925000,137825000,50000.0,,130925000,137825000,131790972,138742838
X,130900000,130950000,X,153150000,153200000,"0,255,255",164,65.585,68.743,89.928,3.93003649918e-13,4.95397653235e-13,2.59346571895e-06,4.17859989413e-13,2,130900000,153175000,25000.0,,130925000,153175000,131790972,153909546
X,1600000,1650000,X,13000000,13050000,"0,255,255",156,31.6182,36.7375,43.2645,1.80982108361e-39,2.15989410315e-39,1.25929395788e-28,1.45175873489e-28,3,1625000,13025000,50000.0,,1625000,13025000,1506107,13006881
X,123500000,123550000,X,130900000,130950000,"0,255,255",145,68.2142,63.2726,65.3697,4.35910179496e-08,7.23004132768e-08,4.74780554514e-08,6.45318720247e-15,3,123525000,130875000,50000.0,,123525000,130925000,124391150,131790972
X,130900000,130950000,X,139800000,139850000,"0,255,255",142,62.2172,61.2468,67.8034,2.06398492985e-07,4.7921594720799996e-14,2.29727431706e-07,2.89990933392e-07,2,130900000,139825000,25000.0,,130925000,139825000,131790972,140742835
X,1600000,1650000,X,7000000,7050000,"0,255,255",141,40.9309,45.6525,40.1145,1.54077616117e-21,9.69386257544e-22,8.98983803233e-22,4.50762816113e-07,1,1625000,7025000,0.0,,1625000,7025000,1506107,7106959
X,118750000,118800000,X,130850000,130900000,"0,255,255",138,41.5989,52.3872,40.9039,2.85606514662e-20,9.902497087600002e-13,1.5235698163e-20,2.04171659114e-06,1,118775000,130875000,0.0,,118775000,130875000,119641037,131740972
X,39700000,39750000,X,46550000,46600000,"0,255,255",120,51.6855,51.4698,60.0894,3.89624354177e-07,2.12149961382e-07,2.69068462422e-07,3.20792403719e-13,1,39725000,46575000,0.0,,39725000,46575000,39865746,46715565
X,130900000,130950000,X,150850000,150900000,"0,255,255",118,55.1963,57.3246,59.1486,1.21038583192e-06,7.16462378274e-07,8.97387950734e-07,9.01874142789e-07,1,130925000,150875000,0.0,,130925000,150875000,131790972,151706528
X,56800000,56850000,X,73050000,73100000,"0,255,255",111,31.6882,33.1646,40.1764,1.6769034215799999e-16,2.72899940067e-16,2.27202198759e-10,3.79618353627e-16,1,56825000,73075000,0.0,,56825000,73075000,56798567,73855165
X,1600000,1650000,X,11750000,11800000,"0,255,255",98,27.7977,28.9639,36.6224,7.06336880493e-17,1.56508790056e-16,2.7387051765e-11,3.57848918809e-11,1,1625000,11775000,0.0,,1625000,11775000,1506107,11756881
X,75350000,75400000,X,130850000,130900000,"0,255,255",92,12.8131,11.3353,13.2275,1.95239415862e-34,2.97050123849e-41,1.7707480992e-33,1.78430862145e-33,3,75375000,130875000,50000.0,,75375000,130875000,76155165,131740972
